t,active_size,active_centroid_depth,pocket_size,pocket_centroid_depth,jaccard_prev,active_jaccard_prev
0,15,1.0,41,0.4878048780487805,nan,nan
1,37,2.0,132,1.4318181818181819,0.3106060606060606,0.40540540540540543
2,37,2.0,132,1.4318181818181819,1.0,1.0
3,37,2.0,132,1.4318181818181819,1.0,1.0
4,37,2.0,132,1.4318181818181819,1.0,1.0
5,37,2.0,132,1.4318181818181819,1.0,1.0
6,37,2.0,132,1.4318181818181819,1.0,1.0
7,37,2.0,132,1.4318181818181819,1.0,1.0
8,37,2.0,132,1.4318181818181819,1.0,1.0
9,37,2.0,132,1.4318181818181819,1.0,1.0
10,37,2.0,132,1.4318181818181819,1.0,1.0
11,37,2.0,132,1.4318181818181819,1.0,1.0
12,37,2.0,132,1.4318181818181819,1.0,1.0
13,37,2.0,132,1.4318181818181819,1.0,1.0
14,37,2.0,132,1.4318181818181819,1.0,1.0
15,37,2.0,132,1.4318181818181819,1.0,1.0
16,37,2.0,132,1.4318181818181819,1.0,1.0
17,37,2.0,132,1.4318181818181819,1.0,1.0
18,37,2.0,132,1.4318181818181819,1.0,1.0
19,37,2.0,132,1.4318181818181819,1.0,1.0
20,37,2.0,132,1.4318181818181819,1.0,1.0
21,37,2.0,132,1.4318181818181819,1.0,1.0
22,37,2.0,132,1.4318181818181819,1.0,1.0
23,37,2.0,132,1.4318181818181819,1.0,1.0
24,37,2.0,132,1.4318181818181819,1.0,1.0
25,37,2.0,132,1.4318181818181819,1.0,1.0
26,37,2.0,132,1.4318181818181819,1.0,1.0
27,37,2.0,132,1.4318181818181819,1.0,1.0
28,37,2.0,132,1.4318181818181819,1.0,1.0
29,37,2.0,132,1.4318181818181819,1.0,1.0
30,37,2.0,132,1.4318181818181819,1.0,1.0
31,37,2.0,132,1.4318181818181819,1.0,1.0
32,37,2.0,132,1.4318181818181819,1.0,1.0
33,37,2.0,132,1.4318181818181819,1.0,1.0
34,37,2.0,132,1.4318181818181819,1.0,1.0
35,37,2.0,132,1.4318181818181819,1.0,1.0
36,37,2.0,132,1.4318181818181819,1.0,1.0
37,37,2.0,132,1.4318181818181819,1.0,1.0
38,37,2.0,132,1.4318181818181819,1.0,1.0
39,37,2.0,132,1.4318181818181819,1.0,1.0
40,37,2.0,132,1.4318181818181819,1.0,1.0
41,37,2.0,132,1.4318181818181819,1.0,1.0
42,37,2.0,132,1.4318181818181819,1.0,1.0
43,37,2.0,132,1.4318181818181819,1.0,1.0
44,37,2.0,132,1.4318181818181819,1.0,1.0
45,37,2.0,132,1.4318181818181819,1.0,1.0
46,37,2.0,132,1.4318181818181819,1.0,1.0
47,37,2.0,132,1.4318181818181819,1.0,1.0
48,37,2.0,132,1.4318181818181819,1.0,1.0
49,37,2.0,132,1.4318181818181819,1.0,1.0
50,37,2.0,132,1.4318181818181819,1.0,1.0
51,37,2.0,132,1.4318181818181819,1.0,1.0
52,37,2.0,132,1.4318181818181819,1.0,1.0
53,37,2.0,132,1.4318181818181819,1.0,1.0
54,37,2.0,132,1.4318181818181819,1.0,1.0
55,37,2.0,132,1.4318181818181819,1.0,1.0
56,37,2.0,132,1.4318181818181819,1.0,1.0
57,37,2.0,132,1.4318181818181819,1.0,1.0
58,37,2.0,132,1.4318181818181819,1.0,1.0
59,37,2.0,132,1.4318181818181819,1.0,1.0
60,37,2.0,132,1.4318181818181819,1.0,1.0
61,37,2.0,132,1.4318181818181819,1.0,1.0
62,37,2.0,132,1.4318181818181819,1.0,1.0
63,37,2.0,132,1.4318181818181819,1.0,1.0
64,37,2.0,132,1.4318181818181819,1.0,1.0
65,37,2.0,132,1.4318181818181819,1.0,1.0
66,37,2.0,132,1.4318181818181819,1.0,1.0
67,37,2.0,132,1.4318181818181819,1.0,1.0
68,37,2.0,132,1.4318181818181819,1.0,1.0
69,37,2.0,132,1.4318181818181819,1.0,1.0
70,37,2.0,132,1.4318181818181819,1.0,1.0
71,37,2.0,132,1.4318181818181819,1.0,1.0
72,37,2.0,132,1.4318181818181819,1.0,1.0
73,37,2.0,132,1.4318181818181819,1.0,1.0
74,37,2.0,132,1.4318181818181819,1.0,1.0
75,37,2.0,132,1.4318181818181819,1.0,1.0
76,37,2.0,132,1.4318181818181819,1.0,1.0
77,37,2.0,132,1.4318181818181819,1.0,1.0
78,37,2.0,132,1.4318181818181819,1.0,1.0
79,37,2.0,132,1.4318181818181819,1.0,1.0
80,37,2.0,132,1.4318181818181819,1.0,1.0
81,37,2.0,132,1.4318181818181819,1.0,1.0
82,37,2.0,132,1.4318181818181819,1.0,1.0
83,37,2.0,132,1.4318181818181819,1.0,1.0
84,37,2.0,132,1.4318181818181819,1.0,1.0
85,37,2.0,132,1.4318181818181819,1.0,1.0
86,37,2.0,132,1.4318181818181819,1.0,1.0
87,37,2.0,132,1.4318181818181819,1.0,1.0
88,37,2.0,132,1.4318181818181819,1.0,1.0
89,37,2.0,132,1.4318181818181819,1.0,1.0
90,37,2.0,132,1.4318181818181819,1.0,1.0
91,37,2.0,132,1.4318181818181819,1.0,1.0
92,37,2.0,132,1.4318181818181819,1.0,1.0
93,37,2.0,132,1.4318181818181819,1.0,1.0
94,37,2.0,132,1.4318181818181819,1.0,1.0
95,37,2.0,132,1.4318181818181819,1.0,1.0
96,37,2.0,132,1.4318181818181819,1.0,1.0
97,37,2.0,132,1.4318181818181819,1.0,1.0
98,37,2.0,132,1.4318181818181819,1.0,1.0
99,37,2.0,132,1.4318181818181819,1.0,1.0
100,37,2.0,132,1.4318181818181819,1.0,1.0
