t,active_size,active_centroid_depth,pocket_size,pocket_centroid_depth,jaccard_prev,active_jaccard_prev
0,12,3.0,93,2.2580645161290325,nan,nan
1,61,7.60655737704918,222,4.954954954954955,0.4189189189189189,0.08955223880597014
2,72,7.013888888888889,227,4.9823788546255505,0.9779735682819384,0.3711340206185567
3,84,7.535714285714286,227,4.9823788546255505,1.0,0.3684210526315789
4,70,7.085714285714285,222,4.954954954954955,0.9779735682819384,0.4
5,59,7.4576271186440675,222,4.954954954954955,1.0,0.3723404255319149
6,72,7.222222222222222,222,4.954954954954955,1.0,0.27184466019417475
7,51,7.254901960784314,218,4.848623853211009,0.9555555555555556,0.20588235294117646
8,79,7.582278481012659,227,4.9823788546255505,0.960352422907489,0.3
9,58,7.5344827586206895,222,4.954954954954955,0.9779735682819384,0.26851851851851855
10,85,7.2,221,4.927601809954751,0.9688888888888889,0.3
11,80,7.1,222,4.954954954954955,0.9688888888888889,0.4864864864864865
12,77,7.675324675324675,227,4.9823788546255505,0.9779735682819384,0.37719298245614036
13,80,7.5375,227,4.9823788546255505,1.0,0.4537037037037037
14,34,6.264705882352941,204,4.617647058823529,0.8986784140969163,0.15151515151515152
15,62,7.548387096774194,222,4.954954954954955,0.918918918918919,0.11627906976744186
16,65,6.861538461538461,225,4.982222222222222,0.9866666666666667,0.25742574257425743
17,83,7.385542168674699,227,4.9823788546255505,0.9911894273127754,0.3333333333333333
18,72,6.986111111111111,227,4.9823788546255505,1.0,0.34782608695652173
19,64,7.484375,225,4.982222222222222,0.9911894273127754,0.27102803738317754
20,71,7.591549295774648,227,4.9823788546255505,0.9911894273127754,0.2980769230769231
21,75,7.24,225,4.982222222222222,0.9911894273127754,0.47474747474747475
22,71,7.464788732394366,225,4.982222222222222,1.0,0.9210526315789473
23,63,6.936507936507937,225,4.982222222222222,1.0,0.2761904761904762
24,65,8.061538461538461,225,4.982222222222222,1.0,0.31958762886597936
25,56,7.875,225,4.982222222222222,1.0,0.31521739130434784
26,77,7.337662337662338,227,4.9823788546255505,0.9911894273127754,0.26666666666666666
27,71,6.661971830985915,224,4.955357142857143,0.986784140969163,0.32142857142857145
28,75,7.1066666666666665,222,4.954954954954955,0.9910714285714286,0.43137254901960786
29,56,8.035714285714286,227,4.9823788546255505,0.9779735682819384,0.2358490566037736
