t,active_size,active_centroid_depth,pocket_size,pocket_centroid_depth,jaccard_prev,active_jaccard_prev
0,12,2.0,67,1.8059701492537314,nan,nan
1,93,6.870967741935484,233,5.085836909871245,0.2875536480686695,0.039603960396039604
2,73,6.301369863013699,230,5.065217391304348,0.9871244635193133,0.3387096774193548
3,87,6.459770114942529,225,5.0,0.9782608695652174,0.2698412698412698
4,94,6.74468085106383,233,5.085836909871245,0.9656652360515021,0.4251968503937008
5,98,6.5,233,5.085836909871245,1.0,0.352112676056338
6,95,6.526315789473684,233,5.085836909871245,1.0,0.40875912408759124
7,67,7.2388059701492535,233,5.085836909871245,1.0,0.3728813559322034
8,82,6.829268292682927,230,5.065217391304348,0.9871244635193133,0.30701754385964913
9,84,6.607142857142857,233,5.085836909871245,0.9871244635193133,0.4067796610169492
10,94,6.382978723404255,230,5.065217391304348,0.9871244635193133,0.31851851851851853
11,85,6.447058823529412,233,5.085836909871245,0.9871244635193133,0.32592592592592595
12,100,6.54,227,5.0,0.9742489270386266,0.33093525179856115
13,90,6.477777777777778,233,5.085836909871245,0.9742489270386266,0.42857142857142855
14,78,6.8076923076923075,233,5.085836909871245,1.0,0.2824427480916031
15,63,7.079365079365079,233,5.085836909871245,1.0,0.3177570093457944
16,80,6.2,233,5.085836909871245,1.0,0.2222222222222222
17,93,6.354838709677419,233,5.085836909871245,1.0,0.3106060606060606
18,71,7.169014084507042,230,5.065217391304348,0.9871244635193133,0.29133858267716534
19,85,6.4,233,5.085836909871245,0.9871244635193133,0.21875
20,90,6.2,233,5.085836909871245,1.0,0.3888888888888889
21,87,6.252873563218391,233,5.085836909871245,1.0,0.3111111111111111
22,94,6.76595744680851,233,5.085836909871245,1.0,0.302158273381295
23,94,6.202127659574468,233,5.085836909871245,1.0,0.35251798561151076
24,88,6.25,227,5.0,0.9742489270386266,0.3188405797101449
25,89,6.685393258426966,230,5.065217391304348,0.9698275862068966,0.3409090909090909
26,80,6.9875,233,5.085836909871245,0.9871244635193133,0.42016806722689076
27,86,6.9186046511627906,233,5.085836909871245,1.0,0.3387096774193548
28,86,6.046511627906977,233,5.085836909871245,1.0,0.3230769230769231
29,83,6.686746987951807,233,5.085836909871245,1.0,0.31007751937984496
30,86,6.22093023255814,225,5.0,0.9656652360515021,0.31007751937984496
31,90,6.166666666666667,233,5.085836909871245,0.9656652360515021,0.3968253968253968
32,90,6.677777777777778,233,5.085836909871245,1.0,0.2765957446808511
33,88,6.2272727272727275,233,5.085836909871245,1.0,0.29927007299270075
34,75,5.88,233,5.085836909871245,1.0,0.3813559322033898
35,92,6.445652173913044,233,5.085836909871245,1.0,0.31496062992125984
36,77,6.961038961038961,233,5.085836909871245,1.0,0.3
37,98,6.663265306122449,230,5.065217391304348,0.9871244635193133,0.35658914728682173
38,62,7.516129032258065,233,5.085836909871245,0.9871244635193133,0.25984251968503935
39,95,6.473684210526316,233,5.085836909871245,1.0,0.2764227642276423
40,91,6.681318681318682,233,5.085836909871245,1.0,0.32857142857142857
41,86,6.523255813953488,233,5.085836909871245,1.0,0.37209302325581395
42,87,6.402298850574713,230,5.065217391304348,0.9871244635193133,0.32061068702290074
43,87,6.172413793103448,225,5.0,0.9782608695652174,0.392
