t,active_size,pocket_size,pocket_centroid_depth,jaccard_prev
0,6,120,5.108333333333333,nan
1,6,120,5.108333333333333,1.0
2,6,120,5.108333333333333,1.0
3,6,120,5.108333333333333,1.0
4,6,120,5.108333333333333,1.0
5,6,120,5.108333333333333,1.0
6,6,120,5.108333333333333,1.0
7,6,120,5.108333333333333,1.0
8,6,120,5.108333333333333,1.0
9,6,120,5.108333333333333,1.0
10,6,120,5.108333333333333,1.0
11,6,120,5.108333333333333,1.0
12,6,120,5.108333333333333,1.0
13,6,120,5.108333333333333,1.0
14,6,120,5.108333333333333,1.0
15,6,120,5.108333333333333,1.0
16,6,120,5.108333333333333,1.0
17,6,120,5.108333333333333,1.0
18,6,120,5.108333333333333,1.0
19,6,120,5.108333333333333,1.0
20,6,120,5.108333333333333,1.0
21,6,120,5.108333333333333,1.0
22,6,120,5.108333333333333,1.0
23,6,120,5.108333333333333,1.0
24,6,120,5.108333333333333,1.0
25,6,120,5.108333333333333,1.0
26,6,120,5.108333333333333,1.0
27,6,120,5.108333333333333,1.0
28,6,120,5.108333333333333,1.0
29,6,120,5.108333333333333,1.0
30,6,120,5.108333333333333,1.0
31,6,120,5.108333333333333,1.0
32,6,120,5.108333333333333,1.0
33,6,120,5.108333333333333,1.0
34,6,120,5.108333333333333,1.0
35,6,120,5.108333333333333,1.0
36,6,120,5.108333333333333,1.0
37,6,120,5.108333333333333,1.0
38,6,120,5.108333333333333,1.0
39,6,120,5.108333333333333,1.0
40,6,120,5.108333333333333,1.0
41,6,120,5.108333333333333,1.0
42,6,120,5.108333333333333,1.0
43,6,120,5.108333333333333,1.0
44,6,120,5.108333333333333,1.0
45,6,120,5.108333333333333,1.0
46,6,120,5.108333333333333,1.0
47,6,120,5.108333333333333,1.0
48,6,120,5.108333333333333,1.0
49,6,120,5.108333333333333,1.0
50,6,120,5.108333333333333,1.0
51,6,120,5.108333333333333,1.0
52,6,120,5.108333333333333,1.0
53,6,120,5.108333333333333,1.0
54,6,120,5.108333333333333,1.0
55,6,120,5.108333333333333,1.0
56,6,120,5.108333333333333,1.0
57,6,120,5.108333333333333,1.0
58,6,120,5.108333333333333,1.0
59,6,120,5.108333333333333,1.0
60,6,120,5.108333333333333,1.0
61,6,120,5.108333333333333,1.0
62,6,120,5.108333333333333,1.0
63,6,120,5.108333333333333,1.0
64,6,120,5.108333333333333,1.0
65,6,120,5.108333333333333,1.0
66,6,120,5.108333333333333,1.0
67,6,120,5.108333333333333,1.0
68,6,120,5.108333333333333,1.0
69,6,120,5.108333333333333,1.0
70,6,120,5.108333333333333,1.0
71,6,120,5.108333333333333,1.0
72,6,120,5.108333333333333,1.0
73,6,120,5.108333333333333,1.0
74,6,120,5.108333333333333,1.0
75,6,120,5.108333333333333,1.0
76,6,120,5.108333333333333,1.0
77,6,120,5.108333333333333,1.0
78,6,120,5.108333333333333,1.0
79,6,120,5.108333333333333,1.0
80,6,120,5.108333333333333,1.0
81,6,120,5.108333333333333,1.0
82,6,120,5.108333333333333,1.0
83,6,120,5.108333333333333,1.0
84,6,120,5.108333333333333,1.0
85,6,120,5.108333333333333,1.0
86,6,120,5.108333333333333,1.0
87,6,120,5.108333333333333,1.0
88,6,120,5.108333333333333,1.0
89,6,120,5.108333333333333,1.0
90,6,120,5.108333333333333,1.0
91,6,120,5.108333333333333,1.0
92,6,120,5.108333333333333,1.0
93,6,120,5.108333333333333,1.0
94,6,120,5.108333333333333,1.0
95,6,120,5.108333333333333,1.0
96,6,120,5.108333333333333,1.0
97,6,120,5.108333333333333,1.0
98,6,120,5.108333333333333,1.0
99,6,120,5.108333333333333,1.0
100,6,120,5.108333333333333,1.0
101,6,120,5.108333333333333,1.0
102,6,120,5.108333333333333,1.0
103,6,120,5.108333333333333,1.0
104,6,120,5.108333333333333,1.0
105,6,120,5.108333333333333,1.0
106,6,120,5.108333333333333,1.0
107,6,120,5.108333333333333,1.0
108,6,120,5.108333333333333,1.0
109,6,120,5.108333333333333,1.0
110,6,120,5.108333333333333,1.0
111,6,120,5.108333333333333,1.0
112,6,120,5.108333333333333,1.0
113,6,120,5.108333333333333,1.0
114,6,120,5.108333333333333,1.0
115,6,120,5.108333333333333,1.0
116,6,120,5.108333333333333,1.0
117,6,120,5.108333333333333,1.0
118,6,120,5.108333333333333,1.0
119,6,120,5.108333333333333,1.0
120,6,120,5.108333333333333,1.0
121,6,120,5.108333333333333,1.0
122,6,120,5.108333333333333,1.0
123,6,120,5.108333333333333,1.0
124,6,120,5.108333333333333,1.0
125,6,120,5.108333333333333,1.0
126,6,120,5.108333333333333,1.0
127,6,120,5.108333333333333,1.0
128,6,120,5.108333333333333,1.0
129,6,120,5.108333333333333,1.0
130,6,120,5.108333333333333,1.0
131,6,120,5.108333333333333,1.0
132,6,120,5.108333333333333,1.0
133,6,120,5.108333333333333,1.0
134,6,120,5.108333333333333,1.0
135,6,120,5.108333333333333,1.0
136,6,120,5.108333333333333,1.0
137,6,120,5.108333333333333,1.0
138,6,120,5.108333333333333,1.0
139,6,120,5.108333333333333,1.0
140,6,120,5.108333333333333,1.0
141,6,120,5.108333333333333,1.0
142,6,120,5.108333333333333,1.0
143,6,120,5.108333333333333,1.0
144,6,120,5.108333333333333,1.0
145,6,120,5.108333333333333,1.0
146,6,120,5.108333333333333,1.0
147,6,120,5.108333333333333,1.0
148,6,120,5.108333333333333,1.0
149,6,120,5.108333333333333,1.0
150,6,120,5.108333333333333,1.0
151,6,120,5.108333333333333,1.0
152,6,120,5.108333333333333,1.0
153,6,120,5.108333333333333,1.0
154,6,120,5.108333333333333,1.0
155,6,120,5.108333333333333,1.0
156,6,120,5.108333333333333,1.0
157,6,120,5.108333333333333,1.0
158,6,120,5.108333333333333,1.0
159,6,120,5.108333333333333,1.0
160,6,120,5.108333333333333,1.0
161,6,120,5.108333333333333,1.0
162,6,120,5.108333333333333,1.0
163,6,120,5.108333333333333,1.0
164,6,120,5.108333333333333,1.0
165,6,120,5.108333333333333,1.0
166,6,120,5.108333333333333,1.0
167,6,120,5.108333333333333,1.0
168,6,120,5.108333333333333,1.0
169,6,120,5.108333333333333,1.0
170,6,120,5.108333333333333,1.0
171,6,120,5.108333333333333,1.0
172,6,120,5.108333333333333,1.0
173,6,120,5.108333333333333,1.0
174,6,120,5.108333333333333,1.0
175,6,120,5.108333333333333,1.0
176,6,120,5.108333333333333,1.0
177,6,120,5.108333333333333,1.0
178,6,120,5.108333333333333,1.0
179,6,120,5.108333333333333,1.0
180,6,120,5.108333333333333,1.0
181,6,120,5.108333333333333,1.0
182,6,120,5.108333333333333,1.0
183,6,120,5.108333333333333,1.0
184,6,120,5.108333333333333,1.0
185,6,120,5.108333333333333,1.0
186,6,120,5.108333333333333,1.0
187,6,120,5.108333333333333,1.0
188,6,120,5.108333333333333,1.0
189,6,120,5.108333333333333,1.0
190,6,120,5.108333333333333,1.0
191,6,120,5.108333333333333,1.0
192,6,120,5.108333333333333,1.0
193,6,120,5.108333333333333,1.0
194,6,120,5.108333333333333,1.0
195,6,120,5.108333333333333,1.0
196,6,120,5.108333333333333,1.0
