t,active_size,pocket_size,pocket_centroid_depth,jaccard_prev
0,10,104,6.25,nan
1,50,116,6.353448275862069,0.896551724137931
2,58,116,6.353448275862069,1.0
3,60,116,6.353448275862069,1.0
4,61,116,6.353448275862069,1.0
5,61,116,6.353448275862069,1.0
6,61,116,6.353448275862069,1.0
7,61,116,6.353448275862069,1.0
8,61,116,6.353448275862069,1.0
9,61,116,6.353448275862069,1.0
10,61,116,6.353448275862069,1.0
11,61,116,6.353448275862069,1.0
12,61,116,6.353448275862069,1.0
13,61,116,6.353448275862069,1.0
14,61,116,6.353448275862069,1.0
15,61,116,6.353448275862069,1.0
16,61,116,6.353448275862069,1.0
17,61,116,6.353448275862069,1.0
18,61,116,6.353448275862069,1.0
19,61,116,6.353448275862069,1.0
20,61,116,6.353448275862069,1.0
21,61,116,6.353448275862069,1.0
22,61,116,6.353448275862069,1.0
23,61,116,6.353448275862069,1.0
24,61,116,6.353448275862069,1.0
25,61,116,6.353448275862069,1.0
26,61,116,6.353448275862069,1.0
27,61,116,6.353448275862069,1.0
28,61,116,6.353448275862069,1.0
29,61,116,6.353448275862069,1.0
30,61,116,6.353448275862069,1.0
31,61,116,6.353448275862069,1.0
32,61,116,6.353448275862069,1.0
33,61,116,6.353448275862069,1.0
34,61,116,6.353448275862069,1.0
35,61,116,6.353448275862069,1.0
36,61,116,6.353448275862069,1.0
37,61,116,6.353448275862069,1.0
38,61,116,6.353448275862069,1.0
39,61,116,6.353448275862069,1.0
40,61,116,6.353448275862069,1.0
41,61,116,6.353448275862069,1.0
42,61,116,6.353448275862069,1.0
43,61,116,6.353448275862069,1.0
44,61,116,6.353448275862069,1.0
45,61,116,6.353448275862069,1.0
46,61,116,6.353448275862069,1.0
47,61,116,6.353448275862069,1.0
48,61,116,6.353448275862069,1.0
49,61,116,6.353448275862069,1.0
50,61,116,6.353448275862069,1.0
51,61,116,6.353448275862069,1.0
52,61,116,6.353448275862069,1.0
53,61,116,6.353448275862069,1.0
54,61,116,6.353448275862069,1.0
55,61,116,6.353448275862069,1.0
56,61,116,6.353448275862069,1.0
57,61,116,6.353448275862069,1.0
58,61,116,6.353448275862069,1.0
59,61,116,6.353448275862069,1.0
60,61,116,6.353448275862069,1.0
