t,active_size,active_centroid_depth,active_max_depth,active_p95_depth,detector_count,detector_ge_count,active_jaccard_prev
0,8,2.0,2,2.0,0,0,
1,10,2.6,3,3.0,0,0,0.2857142857142857
2,15,3.0,4,4.0,0,0,0.25
3,20,3.2,5,5.0,0,0,0.34615384615384615
4,20,3.65,6,5.050000000000001,0,0,0.3333333333333333
5,24,3.9583333333333335,6,6.0,0,0,0.29411764705882354
6,27,4.037037037037037,7,7.0,0,0,0.3783783783783784
7,24,4.25,8,7.0,0,0,0.34210526315789475
8,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
9,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
10,24,4.25,8,7.0,0,0,0.3333333333333333
11,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
12,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
13,24,4.25,8,7.0,0,0,0.3333333333333333
14,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
15,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
16,24,4.25,8,7.0,0,0,0.3333333333333333
17,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
18,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
19,24,4.25,8,7.0,0,0,0.3333333333333333
20,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
21,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
22,24,4.25,8,7.0,0,0,0.3333333333333333
23,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
24,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
25,24,4.25,8,7.0,0,0,0.3333333333333333
26,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
27,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
28,24,4.25,8,7.0,0,0,0.3333333333333333
29,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
30,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
31,24,4.25,8,7.0,0,0,0.3333333333333333
32,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
33,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
34,24,4.25,8,7.0,0,0,0.3333333333333333
35,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
36,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
37,24,4.25,8,7.0,0,0,0.3333333333333333
38,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
39,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
40,24,4.25,8,7.0,0,0,0.3333333333333333
41,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
42,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
43,24,4.25,8,7.0,0,0,0.3333333333333333
44,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
45,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
46,24,4.25,8,7.0,0,0,0.3333333333333333
47,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
48,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
49,24,4.25,8,7.0,0,0,0.3333333333333333
50,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
51,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
52,24,4.25,8,7.0,0,0,0.3333333333333333
53,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
54,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
55,24,4.25,8,7.0,0,0,0.3333333333333333
56,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
57,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
58,24,4.25,8,7.0,0,0,0.3333333333333333
59,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
60,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
61,24,4.25,8,7.0,0,0,0.3333333333333333
62,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
63,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
64,24,4.25,8,7.0,0,0,0.3333333333333333
65,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
66,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
67,24,4.25,8,7.0,0,0,0.3333333333333333
68,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
69,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
70,24,4.25,8,7.0,0,0,0.3333333333333333
71,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
72,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
73,24,4.25,8,7.0,0,0,0.3333333333333333
74,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
75,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
76,24,4.25,8,7.0,0,0,0.3333333333333333
77,26,4.3076923076923075,9,7.5,0,0,0.28205128205128205
78,28,4.214285714285714,9,7.0,0,0,0.38461538461538464
79,24,4.25,8,7.0,0,0,0.3333333333333333
