t,active_size,active_centroid_depth,active_max_depth,active_p95_depth,detector_count,detector_ge_count,active_jaccard_prev
0,10,2.0,2,2.0,0,0,
1,584,18.75,39,33.0,18,82,0.006779661016949152
2,576,18.23263888888889,39,32.0,15,68,0.31968145620022753
3,540,19.362962962962964,39,33.049999999999955,12,75,0.3301549463647199
4,578,18.153979238754324,39,33.0,17,78,0.34213685474189676
5,584,17.840753424657535,38,32.0,13,62,0.36384976525821594
6,542,20.01660516605166,38,33.0,20,92,0.31542056074766356
7,504,18.174603174603174,39,33.0,12,69,0.4002677376171352
8,568,18.0,36,30.0,12,38,0.30413625304136255
9,520,20.50769230769231,39,32.049999999999955,20,78,0.31242460796139926
10,588,18.222789115646258,37,32.0,16,64,0.38154613466334164
11,528,17.926136363636363,33,31.0,17,47,0.3083235638921454
12,572,18.6486013986014,39,33.0,13,80,0.39593908629441626
13,584,18.75,39,33.0,18,82,0.3333333333333333
14,576,18.23263888888889,39,32.0,15,68,0.31968145620022753
15,540,19.362962962962964,39,33.049999999999955,12,75,0.3301549463647199
16,578,18.153979238754324,39,33.0,17,78,0.34213685474189676
17,584,17.840753424657535,38,32.0,13,62,0.36384976525821594
18,542,20.01660516605166,38,33.0,20,92,0.31542056074766356
19,504,18.174603174603174,39,33.0,12,69,0.4002677376171352
20,568,18.0,36,30.0,12,38,0.30413625304136255
21,520,20.50769230769231,39,32.049999999999955,20,78,0.31242460796139926
22,588,18.222789115646258,37,32.0,16,64,0.38154613466334164
23,528,17.926136363636363,33,31.0,17,47,0.3083235638921454
24,572,18.6486013986014,39,33.0,13,80,0.39593908629441626
25,584,18.75,39,33.0,18,82,0.3333333333333333
26,576,18.23263888888889,39,32.0,15,68,0.31968145620022753
27,540,19.362962962962964,39,33.049999999999955,12,75,0.3301549463647199
28,578,18.153979238754324,39,33.0,17,78,0.34213685474189676
29,584,17.840753424657535,38,32.0,13,62,0.36384976525821594
30,542,20.01660516605166,38,33.0,20,92,0.31542056074766356
31,504,18.174603174603174,39,33.0,12,69,0.4002677376171352
32,568,18.0,36,30.0,12,38,0.30413625304136255
33,520,20.50769230769231,39,32.049999999999955,20,78,0.31242460796139926
34,588,18.222789115646258,37,32.0,16,64,0.38154613466334164
35,528,17.926136363636363,33,31.0,17,47,0.3083235638921454
36,572,18.6486013986014,39,33.0,13,80,0.39593908629441626
37,584,18.75,39,33.0,18,82,0.3333333333333333
38,576,18.23263888888889,39,32.0,15,68,0.31968145620022753
