t,active_size,active_centroid_depth,active_max_depth,active_p95_depth,detector_count,detector_ge_count,active_jaccard_prev
0,4,2.0,2,2.0,0,0,
1,10,3.1,4,4.0,0,0,0.16666666666666666
2,11,3.0,4,4.0,0,0,0.75
3,16,3.0,5,4.25,0,0,0.42105263157894735
4,16,3.3125,6,5.25,0,0,0.18518518518518517
5,14,3.5,6,5.35,0,0,0.875
6,17,2.9411764705882355,5,4.199999999999999,0,0,0.14814814814814814
7,10,2.8,4,4.0,0,0,0.5882352941176471
8,11,3.1818181818181817,5,4.5,0,0,0.16666666666666666
9,5,3.0,4,4.0,0,0,0.45454545454545453
10,9,3.2222222222222223,4,4.0,0,0,0.16666666666666666
11,13,3.230769230769231,6,5.399999999999999,0,0,0.1
12,17,3.176470588235294,6,5.199999999999999,0,0,0.5
13,20,3.4,6,5.050000000000001,0,0,0.6818181818181818
14,11,3.4545454545454546,6,5.5,0,0,0.34782608695652173
15,17,3.3529411764705883,6,5.199999999999999,0,0,0.4
16,16,3.3125,6,5.25,0,0,0.5
17,12,3.3333333333333335,6,5.449999999999999,0,0,0.6470588235294118
18,5,3.0,4,4.0,0,0,0.0625
19,9,2.888888888888889,4,4.0,0,0,0.16666666666666666
20,21,3.4761904761904763,6,5.0,0,0,0.2
21,18,3.111111111111111,6,5.149999999999999,0,0,0.5
22,6,3.3333333333333335,5,4.75,0,0,0.043478260869565216
23,8,3.375,4,4.0,0,0,0.0
24,16,3.5,6,5.25,0,0,0.043478260869565216
25,9,2.888888888888889,4,4.0,0,0,0.08695652173913043
26,23,3.217391304347826,6,5.0,0,0,0.3333333333333333
27,18,3.611111111111111,6,5.149999999999999,0,0,0.5769230769230769
28,7,3.142857142857143,5,4.699999999999999,0,0,0.25
29,14,3.5,6,5.35,0,0,0.0
30,15,3.2666666666666666,5,4.299999999999999,0,0,0.11538461538461539
31,12,3.0833333333333335,5,4.449999999999999,0,0,0.42105263157894735
32,10,3.3,5,4.549999999999999,0,0,0.6923076923076923
33,15,3.533333333333333,6,5.299999999999999,0,0,0.08695652173913043
34,10,3.6,6,5.549999999999999,0,0,0.47058823529411764
