t,active_size,active_centroid_depth,active_max_depth,active_p95_depth,detector_count,detector_ge_count,active_jaccard_prev
0,8,2.0,2,2.0,0,0,
1,322,20.59006211180124,39,37.0,9,70,0.012269938650306749
2,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
3,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
4,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
5,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
6,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
7,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
8,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
9,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
10,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
11,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
12,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
13,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
14,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
15,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
16,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
17,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
18,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
19,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
20,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
21,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
22,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
23,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
24,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
25,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
26,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
27,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
28,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
29,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
30,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
31,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
32,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
33,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
34,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
35,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
36,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
37,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
38,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
39,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
40,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
41,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
42,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
43,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
44,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
45,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
46,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
47,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
48,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
49,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
50,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
51,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
52,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
53,335,21.31044776119403,39,38.0,10,100,0.2933070866141732
54,359,20.337047353760447,39,38.0,13,86,0.3661417322834646
55,322,20.59006211180124,39,37.0,9,70,0.3405511811023622
