t,active_size,active_centroid_depth,active_max_depth,active_p95_depth,detector_count,detector_ge_count,active_jaccard_prev
0,8,2.0,2,2.0,0,0,
1,13,2.6923076923076925,3,3.0,0,0,0.23529411764705882
2,17,3.2941176470588234,5,4.199999999999999,0,0,0.07142857142857142
3,38,3.8947368421052633,6,6.0,0,0,0.2222222222222222
4,43,4.8604651162790695,8,7.0,0,0,0.265625
5,60,5.85,10,9.0,0,0,0.19767441860465115
6,87,6.436781609195402,11,10.700000000000003,0,0,0.3486238532110092
7,95,7.578947368421052,13,12.0,0,0,0.3787878787878788
8,103,8.223300970873787,14,13.0,0,0,0.2375
9,125,8.36,16,14.0,0,0,0.3411764705882353
10,128,9.4140625,17,16.0,0,0,0.33157894736842103
11,140,10.485714285714286,18,18.0,0,0,0.2641509433962264
12,173,10.780346820809248,20,19.0,0,0,0.3206751054852321
13,174,11.781609195402298,21,20.0,0,0,0.3607843137254902
14,177,12.700564971751412,22,22.0,0,0,0.29044117647058826
15,201,12.522388059701493,24,23.0,0,0,0.32167832167832167
16,191,13.219895287958115,25,24.0,0,0,0.3378839590443686
17,196,14.23469387755102,27,25.0,0,0,0.24838709677419354
18,222,13.9009009009009,28,26.0,0,0,0.29411764705882354
19,214,14.869158878504672,30,27.0,2,2,0.3252279635258359
20,234,16.49145299145299,32,29.0,1,8,0.2619718309859155
21,272,16.595588235294116,33,30.0,8,20,0.3142857142857143
22,271,18.051660516605168,35,33.0,8,40,0.33088235294117646
23,261,18.402298850574713,36,34.0,9,43,0.26066350710900477
24,308,18.74025974025974,37,35.0,10,62,0.31712962962962965
25,301,19.79734219269103,39,36.0,5,67,0.35033259423503327
26,300,20.516666666666666,39,37.0,9,75,0.3008658008658009
27,334,19.92814371257485,39,36.0,10,79,0.3547008547008547
28,309,20.181229773462782,39,37.0,11,76,0.3367983367983368
29,307,20.85667752442997,39,37.0,7,83,0.2727272727272727
30,350,20.6,39,37.0,12,95,0.354639175257732
31,317,20.577287066246058,39,37.0,11,84,0.3752577319587629
32,308,21.016233766233768,39,37.0,7,84,0.29132231404958675
33,334,19.895209580838323,39,37.0,12,79,0.3375
34,312,20.362179487179485,39,37.0,11,79,0.36
35,298,20.43959731543624,39,37.0,7,74,0.27882599580712786
36,338,20.088757396449704,39,37.0,12,83,0.3474576271186441
37,307,20.061889250814332,39,36.0,11,74,0.36363636363636365
38,300,20.56,39,37.0,7,76,0.2805907172995781
39,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
40,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
41,300,20.56,39,37.0,7,76,0.2805907172995781
42,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
43,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
44,300,20.56,39,37.0,7,76,0.2805907172995781
45,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
46,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
47,300,20.56,39,37.0,7,76,0.2805907172995781
48,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
49,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
50,300,20.56,39,37.0,7,76,0.2805907172995781
51,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
52,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
53,300,20.56,39,37.0,7,76,0.2805907172995781
54,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
55,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
56,300,20.56,39,37.0,7,76,0.2805907172995781
57,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
58,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
59,300,20.56,39,37.0,7,76,0.2805907172995781
60,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
61,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
62,300,20.56,39,37.0,7,76,0.2805907172995781
63,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
64,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
65,300,20.56,39,37.0,7,76,0.2805907172995781
66,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
67,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
68,300,20.56,39,37.0,7,76,0.2805907172995781
69,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
70,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
71,300,20.56,39,37.0,7,76,0.2805907172995781
72,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
73,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
74,300,20.56,39,37.0,7,76,0.2805907172995781
75,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
76,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
77,300,20.56,39,37.0,7,76,0.2805907172995781
78,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
79,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
80,300,20.56,39,37.0,7,76,0.2805907172995781
81,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
82,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
83,300,20.56,39,37.0,7,76,0.2805907172995781
84,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
85,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
86,300,20.56,39,37.0,7,76,0.2805907172995781
87,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
88,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
89,300,20.56,39,37.0,7,76,0.2805907172995781
90,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
91,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
92,300,20.56,39,37.0,7,76,0.2805907172995781
93,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
94,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
95,300,20.56,39,37.0,7,76,0.2805907172995781
96,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
97,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
98,300,20.56,39,37.0,7,76,0.2805907172995781
99,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
100,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
101,300,20.56,39,37.0,7,76,0.2805907172995781
102,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
103,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
104,300,20.56,39,37.0,7,76,0.2805907172995781
105,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
106,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
107,300,20.56,39,37.0,7,76,0.2805907172995781
108,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
109,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
110,300,20.56,39,37.0,7,76,0.2805907172995781
111,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
112,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
113,300,20.56,39,37.0,7,76,0.2805907172995781
114,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
115,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
116,300,20.56,39,37.0,7,76,0.2805907172995781
117,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
118,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
119,300,20.56,39,37.0,7,76,0.2805907172995781
120,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
121,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
122,300,20.56,39,37.0,7,76,0.2805907172995781
123,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
124,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
125,300,20.56,39,37.0,7,76,0.2805907172995781
126,341,20.255131964809383,39,37.0,12,86,0.35232067510548526
127,307,20.061889250814332,39,36.0,11,74,0.3670886075949367
128,300,20.56,39,37.0,7,76,0.2805907172995781
