t,active_size,active_centroid_depth,pocket_size,pocket_centroid_depth,jaccard_prev,active_jaccard_prev
0,8,2.0,24,1.9166666666666667,nan,nan
1,9,3.2222222222222223,41,1.9024390243902438,0.5853658536585366,0.13333333333333333
2,23,3.347826086956522,55,2.0,0.7454545454545455,0.3333333333333333
3,14,3.142857142857143,49,1.9183673469387754,0.8909090909090909,0.4230769230769231
4,21,3.4761904761904763,55,2.0,0.8909090909090909,0.4
5,10,2.8,41,1.9024390243902438,0.7454545454545455,0.19230769230769232
6,10,3.6,41,2.024390243902439,0.64,0.05263157894736842
7,16,3.25,50,1.96,0.82,0.5294117647058824
8,14,3.142857142857143,49,1.9183673469387754,0.8,0.30434782608695654
9,17,3.3529411764705883,50,1.96,0.8,0.24
10,11,3.1818181818181817,41,1.8780487804878048,0.6545454545454545,0.12
11,2,2.0,24,1.9166666666666667,0.5853658536585366,0.18181818181818182
12,6,3.3333333333333335,32,1.9375,0.75,0.14285714285714285
13,13,3.4615384615384617,49,1.9183673469387754,0.6530612244897959,0.35714285714285715
14,12,3.3333333333333335,41,2.024390243902439,0.6363636363636364,0.041666666666666664
15,22,3.272727272727273,55,2.0,0.7454545454545455,0.4166666666666667
16,5,3.0,33,1.8484848484848484,0.6,0.125
17,9,3.2222222222222223,41,1.9024390243902438,0.8048780487804879,0.16666666666666666
18,17,3.3529411764705883,50,1.96,0.82,0.4444444444444444
19,5,3.0,33,1.8484848484848484,0.66,0.15789473684210525
20,15,3.2666666666666666,49,1.9183673469387754,0.673469387755102,0.17647058823529413
21,16,3.5,46,2.0652173913043477,0.7272727272727273,0.2916666666666667
22,15,3.4,50,1.96,0.7454545454545455,0.47619047619047616
23,15,3.4,50,1.96,1.0,0.875
24,21,3.380952380952381,55,2.0,0.9090909090909091,0.7142857142857143
25,18,3.111111111111111,50,1.96,0.9090909090909091,0.5
26,8,3.0,41,1.9024390243902438,0.82,0.3684210526315789
27,16,3.5,46,2.0652173913043477,0.5818181818181818,0.043478260869565216
28,19,3.526315789473684,55,2.0,0.8363636363636363,0.75
29,22,3.272727272727273,55,2.0,1.0,0.64
