t,active_size,active_centroid_depth,pocket_size,pocket_centroid_depth,jaccard_prev,active_jaccard_prev
0,10,18.0,199,9.462311557788945,nan,nan
1,93,23.440860215053764,312,14.782051282051283,0.6378205128205128,0.10752688172043011
2,93,23.440860215053764,312,14.782051282051283,1.0,1.0
3,93,23.440860215053764,312,14.782051282051283,1.0,1.0
4,93,23.440860215053764,312,14.782051282051283,1.0,1.0
5,93,23.440860215053764,312,14.782051282051283,1.0,1.0
6,93,23.440860215053764,312,14.782051282051283,1.0,1.0
7,93,23.440860215053764,312,14.782051282051283,1.0,1.0
8,93,23.440860215053764,312,14.782051282051283,1.0,1.0
9,93,23.440860215053764,312,14.782051282051283,1.0,1.0
10,93,23.440860215053764,312,14.782051282051283,1.0,1.0
11,93,23.440860215053764,312,14.782051282051283,1.0,1.0
12,93,23.440860215053764,312,14.782051282051283,1.0,1.0
13,93,23.440860215053764,312,14.782051282051283,1.0,1.0
14,93,23.440860215053764,312,14.782051282051283,1.0,1.0
15,93,23.440860215053764,312,14.782051282051283,1.0,1.0
16,93,23.440860215053764,312,14.782051282051283,1.0,1.0
17,93,23.440860215053764,312,14.782051282051283,1.0,1.0
18,93,23.440860215053764,312,14.782051282051283,1.0,1.0
19,93,23.440860215053764,312,14.782051282051283,1.0,1.0
20,93,23.440860215053764,312,14.782051282051283,1.0,1.0
21,93,23.440860215053764,312,14.782051282051283,1.0,1.0
22,93,23.440860215053764,312,14.782051282051283,1.0,1.0
23,93,23.440860215053764,312,14.782051282051283,1.0,1.0
24,93,23.440860215053764,312,14.782051282051283,1.0,1.0
25,93,23.440860215053764,312,14.782051282051283,1.0,1.0
26,93,23.440860215053764,312,14.782051282051283,1.0,1.0
27,93,23.440860215053764,312,14.782051282051283,1.0,1.0
28,93,23.440860215053764,312,14.782051282051283,1.0,1.0
29,93,23.440860215053764,312,14.782051282051283,1.0,1.0
30,93,23.440860215053764,312,14.782051282051283,1.0,1.0
31,93,23.440860215053764,312,14.782051282051283,1.0,1.0
32,93,23.440860215053764,312,14.782051282051283,1.0,1.0
33,93,23.440860215053764,312,14.782051282051283,1.0,1.0
34,93,23.440860215053764,312,14.782051282051283,1.0,1.0
35,93,23.440860215053764,312,14.782051282051283,1.0,1.0
36,93,23.440860215053764,312,14.782051282051283,1.0,1.0
37,93,23.440860215053764,312,14.782051282051283,1.0,1.0
38,93,23.440860215053764,312,14.782051282051283,1.0,1.0
39,93,23.440860215053764,312,14.782051282051283,1.0,1.0
40,93,23.440860215053764,312,14.782051282051283,1.0,1.0
