t,active_size,pocket_size,pocket_centroid_depth,jaccard_prev
0,5,600,1.955,nan
1,28,600,1.955,1.0
2,84,600,1.955,1.0
3,244,600,1.955,1.0
4,427,600,1.955,1.0
5,529,600,1.955,1.0
6,552,600,1.955,1.0
7,562,600,1.955,1.0
8,564,600,1.955,1.0
9,564,600,1.955,1.0
10,564,600,1.955,1.0
11,564,600,1.955,1.0
12,564,600,1.955,1.0
13,564,600,1.955,1.0
14,564,600,1.955,1.0
15,564,600,1.955,1.0
16,564,600,1.955,1.0
17,564,600,1.955,1.0
18,564,600,1.955,1.0
19,564,600,1.955,1.0
20,564,600,1.955,1.0
21,564,600,1.955,1.0
22,564,600,1.955,1.0
23,564,600,1.955,1.0
24,564,600,1.955,1.0
25,564,600,1.955,1.0
26,564,600,1.955,1.0
27,564,600,1.955,1.0
28,564,600,1.955,1.0
29,564,600,1.955,1.0
30,564,600,1.955,1.0
31,564,600,1.955,1.0
32,564,600,1.955,1.0
33,564,600,1.955,1.0
34,564,600,1.955,1.0
35,564,600,1.955,1.0
36,564,600,1.955,1.0
37,564,600,1.955,1.0
38,564,600,1.955,1.0
39,564,600,1.955,1.0
40,564,600,1.955,1.0
41,564,600,1.955,1.0
42,564,600,1.955,1.0
43,564,600,1.955,1.0
44,564,600,1.955,1.0
45,564,600,1.955,1.0
46,564,600,1.955,1.0
47,564,600,1.955,1.0
48,564,600,1.955,1.0
49,564,600,1.955,1.0
50,564,600,1.955,1.0
51,564,600,1.955,1.0
52,564,600,1.955,1.0
53,564,600,1.955,1.0
54,564,600,1.955,1.0
55,564,600,1.955,1.0
56,564,600,1.955,1.0
57,564,600,1.955,1.0
58,564,600,1.955,1.0
59,564,600,1.955,1.0
60,564,600,1.955,1.0
61,564,600,1.955,1.0
62,564,600,1.955,1.0
63,564,600,1.955,1.0
64,564,600,1.955,1.0
65,564,600,1.955,1.0
66,564,600,1.955,1.0
67,564,600,1.955,1.0
68,564,600,1.955,1.0
69,564,600,1.955,1.0
70,564,600,1.955,1.0
71,564,600,1.955,1.0
72,564,600,1.955,1.0
73,564,600,1.955,1.0
74,564,600,1.955,1.0
75,564,600,1.955,1.0
76,564,600,1.955,1.0
77,564,600,1.955,1.0
78,564,600,1.955,1.0
79,564,600,1.955,1.0
80,564,600,1.955,1.0
81,564,600,1.955,1.0
82,564,600,1.955,1.0
83,564,600,1.955,1.0
84,564,600,1.955,1.0
85,564,600,1.955,1.0
86,564,600,1.955,1.0
87,564,600,1.955,1.0
88,564,600,1.955,1.0
89,564,600,1.955,1.0
90,564,600,1.955,1.0
91,564,600,1.955,1.0
92,564,600,1.955,1.0
93,564,600,1.955,1.0
94,564,600,1.955,1.0
95,564,600,1.955,1.0
96,564,600,1.955,1.0
97,564,600,1.955,1.0
98,564,600,1.955,1.0
99,564,600,1.955,1.0
100,564,600,1.955,1.0
