t,active_size,pocket_size,pocket_centroid_depth,jaccard_prev
0,10,1000,2.853,nan
1,25,1000,2.853,1.0
2,37,1000,2.853,1.0
3,62,1000,2.853,1.0
4,83,1000,2.853,1.0
5,101,1000,2.853,1.0
6,123,1000,2.853,1.0
7,153,1000,2.853,1.0
8,195,1000,2.853,1.0
9,243,1000,2.853,1.0
10,296,1000,2.853,1.0
11,350,1000,2.853,1.0
12,402,1000,2.853,1.0
13,450,1000,2.853,1.0
14,481,1000,2.853,1.0
15,507,1000,2.853,1.0
16,529,1000,2.853,1.0
17,553,1000,2.853,1.0
18,567,1000,2.853,1.0
19,572,1000,2.853,1.0
20,574,1000,2.853,1.0
21,575,1000,2.853,1.0
22,579,1000,2.853,1.0
23,581,1000,2.853,1.0
24,583,1000,2.853,1.0
25,583,1000,2.853,1.0
26,583,1000,2.853,1.0
27,583,1000,2.853,1.0
28,583,1000,2.853,1.0
29,583,1000,2.853,1.0
30,583,1000,2.853,1.0
31,583,1000,2.853,1.0
32,583,1000,2.853,1.0
33,583,1000,2.853,1.0
34,583,1000,2.853,1.0
35,583,1000,2.853,1.0
36,583,1000,2.853,1.0
37,583,1000,2.853,1.0
38,583,1000,2.853,1.0
39,583,1000,2.853,1.0
40,583,1000,2.853,1.0
41,583,1000,2.853,1.0
42,583,1000,2.853,1.0
43,583,1000,2.853,1.0
44,583,1000,2.853,1.0
45,583,1000,2.853,1.0
46,583,1000,2.853,1.0
47,583,1000,2.853,1.0
48,583,1000,2.853,1.0
49,583,1000,2.853,1.0
50,583,1000,2.853,1.0
51,583,1000,2.853,1.0
52,583,1000,2.853,1.0
53,583,1000,2.853,1.0
54,583,1000,2.853,1.0
55,583,1000,2.853,1.0
56,583,1000,2.853,1.0
57,583,1000,2.853,1.0
58,583,1000,2.853,1.0
59,583,1000,2.853,1.0
60,583,1000,2.853,1.0
61,583,1000,2.853,1.0
62,583,1000,2.853,1.0
63,583,1000,2.853,1.0
64,583,1000,2.853,1.0
65,583,1000,2.853,1.0
66,583,1000,2.853,1.0
67,583,1000,2.853,1.0
68,583,1000,2.853,1.0
69,583,1000,2.853,1.0
70,583,1000,2.853,1.0
71,583,1000,2.853,1.0
72,583,1000,2.853,1.0
73,583,1000,2.853,1.0
74,583,1000,2.853,1.0
75,583,1000,2.853,1.0
76,583,1000,2.853,1.0
77,583,1000,2.853,1.0
78,583,1000,2.853,1.0
79,583,1000,2.853,1.0
80,583,1000,2.853,1.0
81,583,1000,2.853,1.0
82,583,1000,2.853,1.0
83,583,1000,2.853,1.0
84,583,1000,2.853,1.0
85,583,1000,2.853,1.0
86,583,1000,2.853,1.0
87,583,1000,2.853,1.0
88,583,1000,2.853,1.0
89,583,1000,2.853,1.0
90,583,1000,2.853,1.0
91,583,1000,2.853,1.0
92,583,1000,2.853,1.0
93,583,1000,2.853,1.0
94,583,1000,2.853,1.0
95,583,1000,2.853,1.0
96,583,1000,2.853,1.0
97,583,1000,2.853,1.0
98,583,1000,2.853,1.0
99,583,1000,2.853,1.0
100,583,1000,2.853,1.0
