t,active_size,active_centroid_depth,pocket_size,pocket_centroid_depth,jaccard_prev,active_jaccard_prev
0,15,1.0,56,0.5535714285714286,nan,nan
1,624,10.689102564102564,793,9.363177805800756,0.07061790668348046,0.02403846153846154
2,624,10.689102564102564,793,9.363177805800756,1.0,1.0
3,624,10.689102564102564,793,9.363177805800756,1.0,1.0
4,624,10.689102564102564,793,9.363177805800756,1.0,1.0
5,624,10.689102564102564,793,9.363177805800756,1.0,1.0
6,624,10.689102564102564,793,9.363177805800756,1.0,1.0
7,624,10.689102564102564,793,9.363177805800756,1.0,1.0
8,624,10.689102564102564,793,9.363177805800756,1.0,1.0
9,624,10.689102564102564,793,9.363177805800756,1.0,1.0
10,624,10.689102564102564,793,9.363177805800756,1.0,1.0
11,624,10.689102564102564,793,9.363177805800756,1.0,1.0
12,624,10.689102564102564,793,9.363177805800756,1.0,1.0
13,624,10.689102564102564,793,9.363177805800756,1.0,1.0
14,624,10.689102564102564,793,9.363177805800756,1.0,1.0
15,624,10.689102564102564,793,9.363177805800756,1.0,1.0
16,624,10.689102564102564,793,9.363177805800756,1.0,1.0
17,624,10.689102564102564,793,9.363177805800756,1.0,1.0
18,624,10.689102564102564,793,9.363177805800756,1.0,1.0
19,624,10.689102564102564,793,9.363177805800756,1.0,1.0
20,624,10.689102564102564,793,9.363177805800756,1.0,1.0
21,624,10.689102564102564,793,9.363177805800756,1.0,1.0
22,624,10.689102564102564,793,9.363177805800756,1.0,1.0
23,624,10.689102564102564,793,9.363177805800756,1.0,1.0
24,624,10.689102564102564,793,9.363177805800756,1.0,1.0
25,624,10.689102564102564,793,9.363177805800756,1.0,1.0
26,624,10.689102564102564,793,9.363177805800756,1.0,1.0
27,624,10.689102564102564,793,9.363177805800756,1.0,1.0
28,624,10.689102564102564,793,9.363177805800756,1.0,1.0
29,624,10.689102564102564,793,9.363177805800756,1.0,1.0
30,624,10.689102564102564,793,9.363177805800756,1.0,1.0
31,624,10.689102564102564,793,9.363177805800756,1.0,1.0
32,624,10.689102564102564,793,9.363177805800756,1.0,1.0
33,624,10.689102564102564,793,9.363177805800756,1.0,1.0
34,624,10.689102564102564,793,9.363177805800756,1.0,1.0
35,624,10.689102564102564,793,9.363177805800756,1.0,1.0
36,624,10.689102564102564,793,9.363177805800756,1.0,1.0
37,624,10.689102564102564,793,9.363177805800756,1.0,1.0
38,624,10.689102564102564,793,9.363177805800756,1.0,1.0
39,624,10.689102564102564,793,9.363177805800756,1.0,1.0
40,624,10.689102564102564,793,9.363177805800756,1.0,1.0
41,624,10.689102564102564,793,9.363177805800756,1.0,1.0
42,624,10.689102564102564,793,9.363177805800756,1.0,1.0
43,624,10.689102564102564,793,9.363177805800756,1.0,1.0
44,624,10.689102564102564,793,9.363177805800756,1.0,1.0
45,624,10.689102564102564,793,9.363177805800756,1.0,1.0
46,624,10.689102564102564,793,9.363177805800756,1.0,1.0
47,624,10.689102564102564,793,9.363177805800756,1.0,1.0
48,624,10.689102564102564,793,9.363177805800756,1.0,1.0
49,624,10.689102564102564,793,9.363177805800756,1.0,1.0
50,624,10.689102564102564,793,9.363177805800756,1.0,1.0
51,624,10.689102564102564,793,9.363177805800756,1.0,1.0
52,624,10.689102564102564,793,9.363177805800756,1.0,1.0
53,624,10.689102564102564,793,9.363177805800756,1.0,1.0
54,624,10.689102564102564,793,9.363177805800756,1.0,1.0
55,624,10.689102564102564,793,9.363177805800756,1.0,1.0
56,624,10.689102564102564,793,9.363177805800756,1.0,1.0
57,624,10.689102564102564,793,9.363177805800756,1.0,1.0
58,624,10.689102564102564,793,9.363177805800756,1.0,1.0
59,624,10.689102564102564,793,9.363177805800756,1.0,1.0
60,624,10.689102564102564,793,9.363177805800756,1.0,1.0
61,624,10.689102564102564,793,9.363177805800756,1.0,1.0
62,624,10.689102564102564,793,9.363177805800756,1.0,1.0
63,624,10.689102564102564,793,9.363177805800756,1.0,1.0
64,624,10.689102564102564,793,9.363177805800756,1.0,1.0
65,624,10.689102564102564,793,9.363177805800756,1.0,1.0
66,624,10.689102564102564,793,9.363177805800756,1.0,1.0
67,624,10.689102564102564,793,9.363177805800756,1.0,1.0
68,624,10.689102564102564,793,9.363177805800756,1.0,1.0
69,624,10.689102564102564,793,9.363177805800756,1.0,1.0
70,624,10.689102564102564,793,9.363177805800756,1.0,1.0
71,624,10.689102564102564,793,9.363177805800756,1.0,1.0
72,624,10.689102564102564,793,9.363177805800756,1.0,1.0
73,624,10.689102564102564,793,9.363177805800756,1.0,1.0
74,624,10.689102564102564,793,9.363177805800756,1.0,1.0
75,624,10.689102564102564,793,9.363177805800756,1.0,1.0
76,624,10.689102564102564,793,9.363177805800756,1.0,1.0
77,624,10.689102564102564,793,9.363177805800756,1.0,1.0
78,624,10.689102564102564,793,9.363177805800756,1.0,1.0
79,624,10.689102564102564,793,9.363177805800756,1.0,1.0
80,624,10.689102564102564,793,9.363177805800756,1.0,1.0
81,624,10.689102564102564,793,9.363177805800756,1.0,1.0
82,624,10.689102564102564,793,9.363177805800756,1.0,1.0
83,624,10.689102564102564,793,9.363177805800756,1.0,1.0
84,624,10.689102564102564,793,9.363177805800756,1.0,1.0
85,624,10.689102564102564,793,9.363177805800756,1.0,1.0
86,624,10.689102564102564,793,9.363177805800756,1.0,1.0
87,624,10.689102564102564,793,9.363177805800756,1.0,1.0
88,624,10.689102564102564,793,9.363177805800756,1.0,1.0
89,624,10.689102564102564,793,9.363177805800756,1.0,1.0
90,624,10.689102564102564,793,9.363177805800756,1.0,1.0
91,624,10.689102564102564,793,9.363177805800756,1.0,1.0
92,624,10.689102564102564,793,9.363177805800756,1.0,1.0
93,624,10.689102564102564,793,9.363177805800756,1.0,1.0
94,624,10.689102564102564,793,9.363177805800756,1.0,1.0
95,624,10.689102564102564,793,9.363177805800756,1.0,1.0
96,624,10.689102564102564,793,9.363177805800756,1.0,1.0
97,624,10.689102564102564,793,9.363177805800756,1.0,1.0
98,624,10.689102564102564,793,9.363177805800756,1.0,1.0
99,624,10.689102564102564,793,9.363177805800756,1.0,1.0
100,624,10.689102564102564,793,9.363177805800756,1.0,1.0
