t,active_size,active_centroid_depth,active_max_depth,active_p95_depth,detector_count,detector_ge_count,active_jaccard_prev
0,5,2.0,2,2.0,0,0,
1,3,2.0,2,2.0,0,0,0.6
2,1,2.0,2,2.0,0,0,0.3333333333333333
3,1,2.0,2,2.0,0,0,0.0
4,2,2.0,2,2.0,0,0,0.0
5,2,2.0,2,2.0,0,0,0.0
6,3,2.0,2,2.0,0,0,0.25
7,4,2.0,2,2.0,0,0,0.75
8,3,2.0,2,2.0,0,0,0.75
9,1,2.0,2,2.0,0,0,0.3333333333333333
10,1,2.0,2,2.0,0,0,0.0
11,2,2.0,2,2.0,0,0,0.0
12,2,2.0,2,2.0,0,0,0.0
13,3,2.0,2,2.0,0,0,0.25
14,4,2.0,2,2.0,0,0,0.75
15,3,2.0,2,2.0,0,0,0.75
16,1,2.0,2,2.0,0,0,0.3333333333333333
17,1,2.0,2,2.0,0,0,0.0
18,2,2.0,2,2.0,0,0,0.0
19,2,2.0,2,2.0,0,0,0.0
20,3,2.0,2,2.0,0,0,0.25
21,4,2.0,2,2.0,0,0,0.75
22,3,2.0,2,2.0,0,0,0.75
23,1,2.0,2,2.0,0,0,0.3333333333333333
24,1,2.0,2,2.0,0,0,0.0
25,2,2.0,2,2.0,0,0,0.0
26,2,2.0,2,2.0,0,0,0.0
27,3,2.0,2,2.0,0,0,0.25
28,4,2.0,2,2.0,0,0,0.75
29,3,2.0,2,2.0,0,0,0.75
30,1,2.0,2,2.0,0,0,0.3333333333333333
31,1,2.0,2,2.0,0,0,0.0
32,2,2.0,2,2.0,0,0,0.0
33,2,2.0,2,2.0,0,0,0.0
34,3,2.0,2,2.0,0,0,0.25
35,4,2.0,2,2.0,0,0,0.75
36,3,2.0,2,2.0,0,0,0.75
37,1,2.0,2,2.0,0,0,0.3333333333333333
38,1,2.0,2,2.0,0,0,0.0
39,2,2.0,2,2.0,0,0,0.0
40,2,2.0,2,2.0,0,0,0.0
41,3,2.0,2,2.0,0,0,0.25
42,4,2.0,2,2.0,0,0,0.75
43,3,2.0,2,2.0,0,0,0.75
44,1,2.0,2,2.0,0,0,0.3333333333333333
45,1,2.0,2,2.0,0,0,0.0
46,2,2.0,2,2.0,0,0,0.0
47,2,2.0,2,2.0,0,0,0.0
48,3,2.0,2,2.0,0,0,0.25
49,4,2.0,2,2.0,0,0,0.75
50,3,2.0,2,2.0,0,0,0.75
51,1,2.0,2,2.0,0,0,0.3333333333333333
52,1,2.0,2,2.0,0,0,0.0
53,2,2.0,2,2.0,0,0,0.0
54,2,2.0,2,2.0,0,0,0.0
55,3,2.0,2,2.0,0,0,0.25
56,4,2.0,2,2.0,0,0,0.75
57,3,2.0,2,2.0,0,0,0.75
58,1,2.0,2,2.0,0,0,0.3333333333333333
59,1,2.0,2,2.0,0,0,0.0
60,2,2.0,2,2.0,0,0,0.0
61,2,2.0,2,2.0,0,0,0.0
62,3,2.0,2,2.0,0,0,0.25
63,4,2.0,2,2.0,0,0,0.75
64,3,2.0,2,2.0,0,0,0.75
65,1,2.0,2,2.0,0,0,0.3333333333333333
66,1,2.0,2,2.0,0,0,0.0
67,2,2.0,2,2.0,0,0,0.0
68,2,2.0,2,2.0,0,0,0.0
69,3,2.0,2,2.0,0,0,0.25
70,4,2.0,2,2.0,0,0,0.75
71,3,2.0,2,2.0,0,0,0.75
72,1,2.0,2,2.0,0,0,0.3333333333333333
73,1,2.0,2,2.0,0,0,0.0
74,2,2.0,2,2.0,0,0,0.0
75,2,2.0,2,2.0,0,0,0.0
76,3,2.0,2,2.0,0,0,0.25
77,4,2.0,2,2.0,0,0,0.75
78,3,2.0,2,2.0,0,0,0.75
79,1,2.0,2,2.0,0,0,0.3333333333333333
80,1,2.0,2,2.0,0,0,0.0
81,2,2.0,2,2.0,0,0,0.0
82,2,2.0,2,2.0,0,0,0.0
83,3,2.0,2,2.0,0,0,0.25
84,4,2.0,2,2.0,0,0,0.75
85,3,2.0,2,2.0,0,0,0.75
86,1,2.0,2,2.0,0,0,0.3333333333333333
87,1,2.0,2,2.0,0,0,0.0
88,2,2.0,2,2.0,0,0,0.0
89,2,2.0,2,2.0,0,0,0.0
90,3,2.0,2,2.0,0,0,0.25
91,4,2.0,2,2.0,0,0,0.75
92,3,2.0,2,2.0,0,0,0.75
93,1,2.0,2,2.0,0,0,0.3333333333333333
94,1,2.0,2,2.0,0,0,0.0
95,2,2.0,2,2.0,0,0,0.0
96,2,2.0,2,2.0,0,0,0.0
97,3,2.0,2,2.0,0,0,0.25
98,4,2.0,2,2.0,0,0,0.75
99,3,2.0,2,2.0,0,0,0.75
100,1,2.0,2,2.0,0,0,0.3333333333333333
101,1,2.0,2,2.0,0,0,0.0
102,2,2.0,2,2.0,0,0,0.0
103,2,2.0,2,2.0,0,0,0.0
104,3,2.0,2,2.0,0,0,0.25
105,4,2.0,2,2.0,0,0,0.75
106,3,2.0,2,2.0,0,0,0.75
107,1,2.0,2,2.0,0,0,0.3333333333333333
108,1,2.0,2,2.0,0,0,0.0
109,2,2.0,2,2.0,0,0,0.0
110,2,2.0,2,2.0,0,0,0.0
111,3,2.0,2,2.0,0,0,0.25
112,4,2.0,2,2.0,0,0,0.75
113,3,2.0,2,2.0,0,0,0.75
114,1,2.0,2,2.0,0,0,0.3333333333333333
115,1,2.0,2,2.0,0,0,0.0
116,2,2.0,2,2.0,0,0,0.0
117,2,2.0,2,2.0,0,0,0.0
118,3,2.0,2,2.0,0,0,0.25
119,4,2.0,2,2.0,0,0,0.75
120,3,2.0,2,2.0,0,0,0.75
121,1,2.0,2,2.0,0,0,0.3333333333333333
122,1,2.0,2,2.0,0,0,0.0
123,2,2.0,2,2.0,0,0,0.0
124,2,2.0,2,2.0,0,0,0.0
125,3,2.0,2,2.0,0,0,0.25
126,4,2.0,2,2.0,0,0,0.75
127,3,2.0,2,2.0,0,0,0.75
128,1,2.0,2,2.0,0,0,0.3333333333333333
129,1,2.0,2,2.0,0,0,0.0
130,2,2.0,2,2.0,0,0,0.0
131,2,2.0,2,2.0,0,0,0.0
132,3,2.0,2,2.0,0,0,0.25
133,4,2.0,2,2.0,0,0,0.75
134,3,2.0,2,2.0,0,0,0.75
135,1,2.0,2,2.0,0,0,0.3333333333333333
136,1,2.0,2,2.0,0,0,0.0
137,2,2.0,2,2.0,0,0,0.0
138,2,2.0,2,2.0,0,0,0.0
139,3,2.0,2,2.0,0,0,0.25
140,4,2.0,2,2.0,0,0,0.75
141,3,2.0,2,2.0,0,0,0.75
142,1,2.0,2,2.0,0,0,0.3333333333333333
143,1,2.0,2,2.0,0,0,0.0
144,2,2.0,2,2.0,0,0,0.0
145,2,2.0,2,2.0,0,0,0.0
146,3,2.0,2,2.0,0,0,0.25
147,4,2.0,2,2.0,0,0,0.75
148,3,2.0,2,2.0,0,0,0.75
149,1,2.0,2,2.0,0,0,0.3333333333333333
150,1,2.0,2,2.0,0,0,0.0
151,2,2.0,2,2.0,0,0,0.0
152,2,2.0,2,2.0,0,0,0.0
153,3,2.0,2,2.0,0,0,0.25
154,4,2.0,2,2.0,0,0,0.75
155,3,2.0,2,2.0,0,0,0.75
156,1,2.0,2,2.0,0,0,0.3333333333333333
157,1,2.0,2,2.0,0,0,0.0
158,2,2.0,2,2.0,0,0,0.0
159,2,2.0,2,2.0,0,0,0.0
160,3,2.0,2,2.0,0,0,0.25
161,4,2.0,2,2.0,0,0,0.75
162,3,2.0,2,2.0,0,0,0.75
163,1,2.0,2,2.0,0,0,0.3333333333333333
164,1,2.0,2,2.0,0,0,0.0
165,2,2.0,2,2.0,0,0,0.0
166,2,2.0,2,2.0,0,0,0.0
167,3,2.0,2,2.0,0,0,0.25
168,4,2.0,2,2.0,0,0,0.75
169,3,2.0,2,2.0,0,0,0.75
170,1,2.0,2,2.0,0,0,0.3333333333333333
171,1,2.0,2,2.0,0,0,0.0
172,2,2.0,2,2.0,0,0,0.0
173,2,2.0,2,2.0,0,0,0.0
174,3,2.0,2,2.0,0,0,0.25
175,4,2.0,2,2.0,0,0,0.75
176,3,2.0,2,2.0,0,0,0.75
177,1,2.0,2,2.0,0,0,0.3333333333333333
178,1,2.0,2,2.0,0,0,0.0
179,2,2.0,2,2.0,0,0,0.0
180,2,2.0,2,2.0,0,0,0.0
181,3,2.0,2,2.0,0,0,0.25
182,4,2.0,2,2.0,0,0,0.75
183,3,2.0,2,2.0,0,0,0.75
184,1,2.0,2,2.0,0,0,0.3333333333333333
185,1,2.0,2,2.0,0,0,0.0
186,2,2.0,2,2.0,0,0,0.0
187,2,2.0,2,2.0,0,0,0.0
188,3,2.0,2,2.0,0,0,0.25
189,4,2.0,2,2.0,0,0,0.75
190,3,2.0,2,2.0,0,0,0.75
191,1,2.0,2,2.0,0,0,0.3333333333333333
192,1,2.0,2,2.0,0,0,0.0
193,2,2.0,2,2.0,0,0,0.0
194,2,2.0,2,2.0,0,0,0.0
195,3,2.0,2,2.0,0,0,0.25
196,4,2.0,2,2.0,0,0,0.75
197,3,2.0,2,2.0,0,0,0.75
198,1,2.0,2,2.0,0,0,0.3333333333333333
199,1,2.0,2,2.0,0,0,0.0
200,2,2.0,2,2.0,0,0,0.0
