id,order,nodes,edges,loss
0,6,18,24,0.0
1,1,18,27,0.0
2,6,18,25,0.0
3,1,18,29,0.0
4,6,18,29,0.0
5,6,18,28,0.0
6,1,18,26,0.0
7,6,18,29,0.0
8,1,18,29,0.0
9,6,18,28,0.0
10,6,18,20,0.0
11,6,18,33,0.0
12,6,18,31,0.0
13,2,18,33,0.0
14,1,18,24,0.0
15,1,18,29,0.0
16,6,18,28,0.0
17,1,18,22,0.0
18,1,18,27,0.0
19,6,18,26,0.0
20,6,18,28,0.0
21,6,18,30,0.0
22,1,18,26,0.0
23,6,18,29,0.0
24,1,18,27,0.0
25,6,18,22,0.0
26,6,18,25,0.0
27,1,18,28,0.0
28,1,18,31,0.0
29,1,18,28,0.0
30,6,18,25,0.0
31,2,18,25,0.0
32,6,18,30,0.0
33,1,18,26,0.0
34,6,18,31,0.0
35,2,18,27,0.0
36,1,18,29,0.0
37,1,18,25,0.0
38,1,18,26,0.0
39,6,18,29,0.0
40,6,18,29,0.0
41,6,18,20,0.0
42,1,18,30,0.0
43,1,18,25,0.0
44,1,18,27,0.0
45,1,18,28,0.0
46,6,18,31,0.0
47,6,18,32,0.0
48,6,18,29,0.0
49,1,18,21,0.0
50,6,18,28,0.0
51,6,18,26,0.0
52,1,18,24,0.0
53,6,18,28,0.0
54,6,18,29,0.0
55,6,18,29,0.0
56,6,18,29,0.0
57,2,18,22,0.0
58,1,18,28,0.0
59,1,18,16,0.0
60,6,18,24,0.0
61,6,18,25,0.0
62,6,18,33,0.0
63,6,18,26,0.0
64,1,18,32,0.0
65,1,18,27,0.0
66,1,18,22,0.0
67,6,18,34,0.0
68,1,18,27,0.0
69,1,18,27,0.0
70,1,18,24,0.0
71,6,18,32,0.0
72,6,18,29,0.0
73,6,18,23,0.0
74,6,18,26,0.0
75,1,18,32,0.0
76,1,18,27,0.0
77,1,18,26,0.0
78,1,18,30,0.0
79,6,18,29,0.0
80,1,18,25,0.0
81,1,18,22,0.0
82,1,18,31,0.0
83,6,18,26,0.0
84,6,18,34,0.0
85,6,18,26,0.0
86,6,18,23,0.0
87,6,18,29,0.0
88,1,18,29,0.0
89,1,18,23,0.0
90,2,18,32,0.0
91,6,18,33,0.0
92,1,18,27,0.0
93,1,18,33,0.0
94,6,18,30,0.0
95,6,18,29,0.0
96,6,18,24,0.0
97,6,18,24,0.0
98,1,18,21,0.0
99,1,18,29,0.0
100,6,18,30,0.0
101,6,18,27,0.0
102,6,18,28,0.0
103,6,18,33,0.0
104,1,18,27,0.0
105,6,18,29,0.0
106,1,18,26,0.0
107,6,18,19,0.0
108,6,18,30,0.0
109,6,18,24,0.0
110,1,18,28,0.0
111,6,18,19,0.0
112,1,18,34,0.0
113,6,18,28,0.0
114,1,18,29,0.0
115,6,18,25,0.0
116,6,18,31,0.0
117,1,18,20,0.0
118,1,18,23,0.0
119,6,18,34,0.0
120,1,18,27,0.0
121,1,18,23,0.0
122,6,18,33,0.0
123,2,18,26,0.0
124,1,18,31,0.0
125,6,18,31,0.0
126,6,18,30,0.0
127,1,18,28,0.0
128,6,18,34,0.0
129,2,18,27,0.0
130,1,18,22,0.0
131,2,18,28,0.0
132,1,18,31,0.0
133,6,18,30,0.0
134,6,18,27,0.0
135,2,18,23,0.0
136,1,18,23,0.0
137,6,18,31,0.0
138,6,18,30,0.0
139,6,18,29,0.0
140,6,18,28,0.0
141,1,18,27,0.0
142,1,18,24,0.0
143,6,18,27,0.0
144,6,18,31,0.0
145,1,18,22,0.0
146,6,18,34,0.0
147,6,18,36,0.0
148,6,18,30,0.0
149,1,18,24,0.0
150,1,18,25,0.0
151,1,18,26,0.0
152,1,18,29,0.0
153,1,18,27,0.0
154,1,18,22,0.0
155,6,18,24,0.0
156,6,18,32,0.0
157,1,18,23,0.0
158,1,18,26,0.0
159,6,18,17,0.0
160,6,18,28,0.0
161,6,18,26,0.0
162,1,18,26,0.0
163,6,18,25,0.0
164,1,18,32,0.0
165,1,18,20,0.0
166,6,18,27,0.0
167,2,18,30,0.0
168,6,18,26,0.0
169,6,18,35,0.0
170,1,18,24,0.0
171,6,18,30,0.0
172,6,18,34,0.0
173,6,18,34,0.0
174,1,18,27,0.0
175,1,18,22,0.0
176,1,18,25,0.0
177,6,18,30,0.0
178,6,18,27,0.0
179,1,18,21,0.0
180,1,18,21,0.0
181,1,18,23,0.0
182,1,18,25,0.0
183,6,18,35,0.0
184,6,18,28,0.0
185,6,18,21,0.0
186,6,18,27,0.0
187,2,18,30,0.0
188,6,18,28,0.0
189,6,18,25,0.0
190,6,18,25,0.0
191,1,18,26,0.0
192,1,18,28,0.0
193,6,18,27,0.0
194,1,18,26,0.0
195,1,18,26,0.0
196,1,18,28,0.0
197,1,18,23,0.0
198,1,18,28,0.0
199,1,18,28,0.0
200,6,18,22,0.0
201,1,18,34,0.0
202,6,18,19,0.0
203,6,18,31,0.0
204,6,18,28,0.0
205,6,18,28,0.0
206,1,18,35,0.0
207,6,18,21,0.0
208,1,18,22,0.0
209,6,18,29,0.0
210,1,18,26,0.0
211,6,18,27,0.0
212,6,18,28,0.0
213,1,18,23,0.0
214,6,18,26,0.0
215,6,18,30,0.0
216,1,18,29,0.0
217,6,18,32,0.0
218,6,18,30,0.0
219,6,18,23,0.0
220,6,18,24,0.0
221,2,18,27,0.0
222,1,18,31,0.0
223,1,18,33,0.0
224,1,18,24,0.0
225,1,18,26,0.0
226,1,18,30,0.0
227,2,18,34,0.0
228,1,18,30,0.0
