id,order,nodes,edges,loss
0,2,12,10,0.0
1,2,12,14,0.0
2,2,12,15,0.0
3,1,12,12,0.0
4,1,12,16,0.0
5,2,12,14,0.0
6,2,12,14,0.0
7,2,12,14,0.0
8,2,12,8,0.0
9,2,12,16,0.0
10,2,12,12,0.0
11,1,12,13,0.0
12,1,12,8,0.0
13,1,12,11,0.0
14,2,12,15,0.0
15,1,12,14,0.0
16,2,12,15,0.0
17,1,12,11,0.0
18,2,12,15,0.0
19,1,12,19,0.0
20,1,12,16,0.0
21,1,12,10,0.0
22,2,12,12,0.0
23,2,12,15,0.0
24,2,12,11,0.0
25,2,12,20,0.0
26,2,12,18,0.0
27,1,12,15,0.0
28,2,12,12,0.0
29,1,12,13,0.0
30,1,12,15,0.0
31,1,12,14,0.0
32,2,12,15,0.0
33,2,12,14,0.0
34,2,12,16,0.0
35,2,12,11,0.0
36,2,12,16,0.0
37,2,12,12,0.0
38,1,12,17,0.0
39,2,12,10,0.0
40,1,12,14,0.0
41,2,12,15,0.0
42,2,12,15,0.0
43,2,12,12,0.0
44,2,12,11,0.0
45,1,12,13,0.0
46,2,12,14,0.0
47,2,12,14,0.0
48,1,12,16,0.0
49,2,12,15,0.0
50,2,12,14,0.0
51,2,12,13,0.0
52,2,12,16,0.0
53,2,12,20,0.0
54,2,12,11,0.0
55,1,12,13,0.0
56,2,12,14,0.0
57,1,12,15,0.0
58,1,12,13,0.0
59,2,12,16,0.0
60,1,12,12,0.0
61,2,12,12,0.0
62,2,12,11,0.0
63,2,12,16,0.0
64,2,12,13,0.0
65,2,12,18,0.0
66,2,12,14,0.0
67,1,12,10,0.0
68,2,12,14,0.0
69,2,12,14,0.0
70,1,12,16,0.0
71,2,12,14,0.0
72,2,12,11,0.0
73,2,12,23,0.0
74,2,12,13,0.0
75,1,12,14,0.0
76,1,12,13,0.0
77,2,12,18,0.0
78,2,12,12,0.0
79,2,12,12,0.0
80,1,12,16,0.0
81,2,12,13,0.0
82,2,12,19,0.0
83,2,12,15,0.0
84,2,12,9,0.0
85,2,12,15,0.0
86,2,12,9,0.0
87,1,12,9,0.0
88,1,12,15,0.0
89,2,12,14,0.0
90,1,12,13,0.0
91,2,12,8,0.0
92,1,12,14,0.0
93,2,12,15,0.0
94,2,12,15,0.0
95,2,12,10,0.0
96,2,12,10,0.0
97,2,12,12,0.0
98,1,12,12,0.0
99,2,12,20,0.0
100,2,12,14,0.0
101,2,12,14,0.0
102,2,12,12,0.0
103,2,12,12,0.0
104,2,12,17,0.0
105,2,12,13,0.0
106,2,12,12,0.0
107,1,12,17,0.0
108,2,12,15,0.0
109,2,12,10,0.0
110,2,12,12,0.0
111,2,12,15,0.0
112,1,12,18,0.0
113,2,12,13,0.0
114,1,12,13,0.0
115,2,12,16,0.0
116,1,12,13,0.0
117,1,12,12,0.0
118,2,12,17,0.0
119,1,12,14,0.0
120,2,12,8,0.0
121,2,12,10,0.0
122,1,12,15,0.0
123,1,12,15,0.0
124,2,12,15,0.0
125,2,12,13,0.0
126,2,12,17,0.0
127,2,12,15,0.0
128,2,12,6,0.0
129,2,12,16,0.0
130,1,12,11,0.0
131,2,12,19,0.0
132,2,12,8,0.0
133,1,12,16,0.0
134,2,12,15,0.0
135,2,12,11,0.0
136,2,12,14,0.0
137,2,12,15,0.0
138,2,12,19,0.0
139,1,12,19,0.0
140,2,12,17,0.0
141,2,12,16,0.0
142,2,12,10,0.0
143,1,12,15,0.0
144,2,12,10,0.0
145,1,12,17,0.0
146,1,12,14,0.0
147,2,12,9,0.0
148,1,12,12,0.0
149,1,12,16,0.0
150,2,12,13,0.0
151,2,12,14,0.0
152,2,12,19,0.0
153,1,12,14,0.0
154,2,12,12,0.0
155,2,12,12,0.0
156,2,12,12,0.0
157,2,12,12,0.0
158,2,12,12,0.0
159,1,12,14,0.0
160,2,12,18,0.0
161,2,12,20,0.0
162,2,12,14,0.0
163,2,12,18,0.0
164,2,12,13,0.0
165,2,12,15,0.0
166,2,12,9,0.0
167,2,12,13,0.0
168,2,12,15,0.0
169,2,12,12,0.0
170,2,12,9,0.0
171,2,12,16,0.0
172,2,12,14,0.0
173,2,12,10,0.0
174,2,12,17,0.0
175,2,12,13,0.0
176,2,12,10,0.0
177,2,12,14,0.0
178,1,12,15,0.0
179,2,12,17,0.0
180,2,12,12,0.0
181,2,12,13,0.0
182,1,12,14,0.0
183,2,12,20,0.0
184,1,12,13,0.0
185,2,12,16,0.0
186,1,12,17,0.0
187,2,12,12,0.0
188,2,12,15,0.0
189,2,12,19,0.0
190,1,12,15,0.0
191,2,12,14,0.0
192,2,12,14,0.0
193,1,12,9,0.0
194,2,12,15,0.0
195,2,12,11,0.0
196,2,12,16,0.0
197,1,12,15,0.0
198,2,12,13,0.0
199,2,12,12,0.0
200,2,12,12,0.0
201,2,12,14,0.0
202,2,12,17,0.0
203,2,12,11,0.0
204,2,12,15,0.0
205,2,12,17,0.0
206,2,12,15,0.0
207,1,12,14,0.0
208,2,12,14,0.0
209,2,12,17,0.0
