t,n_pockets,total_active,centroids
0,1,12,[np.float64(0.7)]
1,1,1326,[np.float64(29.5)]
2,1,1326,[np.float64(29.5)]
3,1,1326,[np.float64(29.5)]
4,1,1326,[np.float64(29.5)]
5,1,1326,[np.float64(29.5)]
6,1,1326,[np.float64(29.5)]
7,1,1326,[np.float64(29.5)]
8,1,1326,[np.float64(29.5)]
9,1,1326,[np.float64(29.5)]
10,1,1326,[np.float64(29.5)]
11,1,1326,[np.float64(29.5)]
12,1,1326,[np.float64(29.5)]
13,1,1326,[np.float64(29.5)]
14,1,1326,[np.float64(29.5)]
15,1,1326,[np.float64(29.5)]
16,1,1326,[np.float64(29.5)]
17,1,1326,[np.float64(29.5)]
18,1,1326,[np.float64(29.5)]
19,1,1326,[np.float64(29.5)]
20,1,1326,[np.float64(29.5)]
21,1,1326,[np.float64(29.5)]
22,1,1326,[np.float64(29.5)]
23,1,1326,[np.float64(29.5)]
24,1,1326,[np.float64(29.5)]
25,1,1326,[np.float64(29.5)]
26,1,1326,[np.float64(29.5)]
27,1,1326,[np.float64(29.5)]
28,1,1326,[np.float64(29.5)]
29,1,1326,[np.float64(29.5)]
30,1,1326,[np.float64(29.5)]
31,1,1326,[np.float64(29.5)]
32,1,1326,[np.float64(29.5)]
33,1,1326,[np.float64(29.5)]
34,1,1326,[np.float64(29.5)]
35,1,1326,[np.float64(29.5)]
36,1,1326,[np.float64(29.5)]
37,1,1326,[np.float64(29.5)]
38,1,1326,[np.float64(29.5)]
39,1,1326,[np.float64(29.5)]
40,1,1326,[np.float64(29.5)]
41,1,1326,[np.float64(29.5)]
42,1,1326,[np.float64(29.5)]
43,1,1326,[np.float64(29.5)]
44,1,1326,[np.float64(29.5)]
45,1,1326,[np.float64(29.5)]
46,1,1326,[np.float64(29.5)]
47,1,1326,[np.float64(29.5)]
48,1,1326,[np.float64(29.5)]
49,1,1326,[np.float64(29.5)]
50,1,1326,[np.float64(29.5)]
51,1,1326,[np.float64(29.5)]
52,1,1326,[np.float64(29.5)]
53,1,1326,[np.float64(29.5)]
54,1,1326,[np.float64(29.5)]
55,1,1326,[np.float64(29.5)]
56,1,1326,[np.float64(29.5)]
57,1,1326,[np.float64(29.5)]
58,1,1326,[np.float64(29.5)]
59,1,1326,[np.float64(29.5)]
60,1,1326,[np.float64(29.5)]
61,1,1326,[np.float64(29.5)]
62,1,1326,[np.float64(29.5)]
63,1,1326,[np.float64(29.5)]
64,1,1326,[np.float64(29.5)]
65,1,1326,[np.float64(29.5)]
66,1,1326,[np.float64(29.5)]
67,1,1326,[np.float64(29.5)]
68,1,1326,[np.float64(29.5)]
69,1,1326,[np.float64(29.5)]
70,1,1326,[np.float64(29.5)]
71,1,1326,[np.float64(29.5)]
72,1,1326,[np.float64(29.5)]
73,1,1326,[np.float64(29.5)]
74,1,1326,[np.float64(29.5)]
75,1,1326,[np.float64(29.5)]
76,1,1326,[np.float64(29.5)]
77,1,1326,[np.float64(29.5)]
78,1,1326,[np.float64(29.5)]
79,1,1326,[np.float64(29.5)]
80,1,1326,[np.float64(29.5)]
81,1,1326,[np.float64(29.5)]
82,1,1326,[np.float64(29.5)]
83,1,1326,[np.float64(29.5)]
84,1,1326,[np.float64(29.5)]
85,1,1326,[np.float64(29.5)]
86,1,1326,[np.float64(29.5)]
87,1,1326,[np.float64(29.5)]
88,1,1326,[np.float64(29.5)]
89,1,1326,[np.float64(29.5)]
90,1,1326,[np.float64(29.5)]
91,1,1326,[np.float64(29.5)]
92,1,1326,[np.float64(29.5)]
93,1,1326,[np.float64(29.5)]
94,1,1326,[np.float64(29.5)]
95,1,1326,[np.float64(29.5)]
96,1,1326,[np.float64(29.5)]
97,1,1326,[np.float64(29.5)]
98,1,1326,[np.float64(29.5)]
99,1,1326,[np.float64(29.5)]
100,1,1326,[np.float64(29.5)]
