pf,seed,file,N,E,scdc_loss,spectral_gap_sym,mean_min_distance,pocket_best_size,pocket_best_persistence,n_lightcones,dead_ct,localized_ct,shockwave_ct,dead_frac,localized_frac,shockwave_frac,eff_dim_median,growth_poly_frac,max_gap,gap_from,gap_to
0.06,1,pf0.06_seed1_summary.json,500,1212,0.0,0.17087255075184205,,55,,8,5,3,0,0.625,0.375,0.0,0.0709635555893015,0.0,6,9,15
0.06,2,pf0.06_seed2_summary.json,500,1178,0.0,0.0510426648163258,,51,,8,6,2,0,0.75,0.25,0.0,0.0,0.0,4,4,8
0.06,3,pf0.06_seed3_summary.json,500,1276,0.0,0.1460020477547994,,87,,8,5,3,0,0.625,0.375,0.0,0.0,0.0,2,3,5
0.06,4,pf0.06_seed4_summary.json,500,1234,0.0,0.1538853606128836,,69,,8,5,3,0,0.625,0.375,0.0,0.0,0.0,9,8,17
0.06,5,pf0.06_seed5_summary.json,500,1234,0.0,0.24795927629488923,,85,,8,6,2,0,0.75,0.25,0.0,0.0,0.0,8,6,14
0.08,1,pf0.08_seed1_summary.json,500,1309,0.0,0.04754749363658051,,71,,8,2,6,0,0.25,0.75,0.0,0.10033454721773948,0.0,7,8,15
0.08,2,pf0.08_seed2_summary.json,500,1276,0.0,0.06601069568218909,,96,,8,6,2,0,0.75,0.25,0.0,-1.3719070612927824e-16,0.0,7,4,11
0.08,3,pf0.08_seed3_summary.json,500,1381,0.0,0.10062201700814066,,160,,8,4,1,3,0.5,0.125,0.375,0.0950095322065524,0.0,44,21,65
0.08,4,pf0.08_seed4_summary.json,500,1343,0.0,0.09795812750180666,,90,,8,6,2,0,0.75,0.25,0.0,0.0,0.0,4,3,7
0.08,5,pf0.08_seed5_summary.json,500,1337,0.0,0.07132827204177827,,115,,8,5,3,0,0.625,0.375,0.0,0.08123267287168508,0.0,8,8,16
0.1,1,pf0.10_seed1_summary.json,500,1410,0.0,0.0723073768668101,,161,,8,4,2,2,0.5,0.25,0.25,0.0,0.0,13,11,24
0.1,2,pf0.10_seed2_summary.json,500,1386,0.004,0.05629296978571885,,185,,8,5,0,3,0.625,0.0,0.375,0.08123267287168508,0.0,43,27,70
0.1,3,pf0.10_seed3_summary.json,500,1472,0.004,0.1484488020756698,,271,,8,8,0,0,1.0,0.0,0.0,0.0,0.0,1,1,2
0.1,4,pf0.10_seed4_summary.json,500,1445,0.0,0.08952119286230431,,205,,8,3,2,3,0.375,0.25,0.375,0.4279870367821298,0.0,9,8,17
0.1,5,pf0.10_seed5_summary.json,500,1451,0.0,0.10516949224207983,,235,,8,4,1,3,0.5,0.125,0.375,0.0,0.0,34,31,65
0.12,1,pf0.12_seed1_summary.json,500,1242,0.0,0.09495163930698736,,70,,8,7,1,0,0.875,0.125,0.0,0.0,0.0,9,3,12
0.12,2,pf0.12_seed2_summary.json,500,1178,0.0,0.06788061836409276,,52,,8,6,2,0,0.75,0.25,0.0,0.0,0.0,6,2,8
0.12,3,pf0.12_seed3_summary.json,500,1262,0.0,0.20462261163812268,,46,,8,4,2,2,0.5,0.25,0.25,0.15931361546943962,0.0,14,10,24
0.12,4,pf0.12_seed4_summary.json,500,1218,0.0,0.012467052368784426,,61,,8,7,1,0,0.875,0.125,0.0,-2.7438141225855647e-16,0.0,2,3,5
0.12,5,pf0.12_seed5_summary.json,500,1220,0.0,0.12968067220674073,,78,,8,6,1,1,0.75,0.125,0.125,0.0,0.0,20,10,30
0.14,1,pf0.14_seed1_summary.json,500,1289,0.0,0.05852572312289661,,82,,8,7,1,0,0.875,0.125,0.0,0.0,0.0,7,4,11
0.14,2,pf0.14_seed2_summary.json,500,1238,0.0,0.08566223685415708,,107,,8,5,3,0,0.625,0.375,0.0,0.0,0.0,4,2,6
0.14,3,pf0.14_seed3_summary.json,500,1303,0.0,0.1406781959681711,,146,,8,7,1,0,0.875,0.125,0.0,-1.3719070612927824e-16,0.0,1,1,2
0.14,4,pf0.14_seed4_summary.json,500,1263,0.0,0.06113362401692246,,71,,8,6,2,0,0.75,0.25,0.0,0.0,0.0,4,6,10
0.14,5,pf0.14_seed5_summary.json,500,1269,0.0,0.07908669979571514,,74,,8,7,1,0,0.875,0.125,0.0,0.0,0.0,8,4,12
